age,workclass,education,education_num,marital_status,occupation,capital_gain,capital_loss,hours_per_week,income
39,State-gov,Bachelors,13,Never-married,Adm-clerical,2174,0,40,<=50K
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,13,<=50K
38,Private,HS-grad,9,Divorced,Handlers-cleaners,0,0,40,<=50K
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,0,0,40,<=50K
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,<=50K
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,0,0,40,<=50K
49,Private,9th,5,Married-spouse-absent,Other-service,0,0,16,<=50K
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,0,0,45,>50K
31,Private,Masters,14,Never-married,Prof-specialty,14084,0,50,>50K
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,5178,0,40,>50K
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,0,0,80,>50K
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,>50K
23,Private,Bachelors,13,Never-married,Adm-clerical,0,0,30,<=50K
32,Private,Assoc-acdm,12,Never-married,Sales,0,0,50,<=50K
40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,0,0,40,>50K
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,0,0,45,<=50K
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,0,0,35,<=50K
32,Private,HS-grad,9,Never-married,Machine-op-inspct,0,0,40,<=50K
38,Private,11th,7,Married-civ-spouse,Sales,0,0,50,<=50K
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,0,0,45,>50K
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,0,0,60,>50K
54,Private,HS-grad,9,Separated,Other-service,0,0,20,<=50K
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,0,0,40,<=50K
43,Private,11th,7,Married-civ-spouse,Transport-moving,0,2042,40,<=50K
59,Private,HS-grad,9,Divorced,Tech-support,0,0,40,<=50K
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,0,0,40,>50K
19,Private,HS-grad,9,Never-married,Craft-repair,0,0,40,<=50K
54,?,Some-college,10,Married-civ-spouse,?,0,0,60,>50K
39,Private,HS-grad,9,Divorced,Exec-managerial,0,0,80,<=50K
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,<=50K
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,0,0,52,<=50K
20,Private,Some-college,10,Never-married,Sales,0,0,44,<=50K
45,Private,Bachelors,13,Divorced,Exec-managerial,0,1408,40,<=50K
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,0,0,15,<=50K
48,Private,11th,7,Never-married,Machine-op-inspct,0,0,40,<=50K
21,Private,Some-college,10,Never-married,Machine-op-inspct,0,0,40,<=50K
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,0,0,25,<=50K
31,Private,Some-college,10,Married-civ-spouse,Sales,0,0,38,>50K
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,0,0,40,<=50K
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,0,0,43,<=50K
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,<=50K
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,0,0,50,<=50K
49,Private,HS-grad,9,Separated,Adm-clerical,0,0,40,<=50K
25,Private,HS-grad,9,Never-married,Handlers-cleaners,0,0,35,<=50K
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,>50K
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,0,0,38,<=50K
44,Private,Masters,14,Divorced,Exec-managerial,0,0,40,<=50K
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,0,0,40,<=50K
29,Private,Assoc-voc,11,Never-married,Prof-specialty,0,0,43,<=50K
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,0,0,40,<=50K
18,Private,HS-grad,9,Never-married,Other-service,0,0,30,<=50K
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,0,1902,60,>50K
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,0,0,55,>50K
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,0,0,60,<=50K
43,Private,Some-college,10,Married-civ-spouse,Tech-support,0,0,40,>50K
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,0,0,40,<=50K
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,0,0,40,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,48,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,5013,0,40,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Sales,2407,0,40,<=50K
32,?,7th-8th,4,Married-spouse-absent,?,0,0,40,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,0,0,40,<=50K
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,0,0,45,>50K
29,Private,Some-college,10,Divorced,Tech-support,0,0,58,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,<=50K
28,Private,Some-college,10,Divorced,Adm-clerical,0,0,40,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,40,>50K
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,0,0,50,>50K
25,?,Some-college,10,Never-married,?,0,0,40,<=50K
19,Private,Some-college,10,Never-married,Prof-specialty,0,0,32,<=50K
31,Private,Bachelors,13,Separated,Sales,0,0,40,<=50K
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,0,0,70,>50K
23,Private,Some-college,10,Never-married,Machine-op-inspct,0,0,40,<=50K
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,0,0,20,<=50K
27,Private,HS-grad,9,Never-married,Other-service,0,0,40,<=50K
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
67,?,10th,6,Married-civ-spouse,?,0,0,2,<=50K
18,Private,11th,7,Never-married,Other-service,0,0,22,<=50K
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,0,0,40,<=50K
18,Private,HS-grad,9,Never-married,Sales,0,0,30,<=50K
52,Private,Bachelors,13,Married-civ-spouse,Other-service,0,0,40,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Other-service,0,0,40,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Sales,0,0,48,<=50K
44,Private,HS-grad,9,Divorced,Craft-repair,14344,0,40,>50K
53,Private,HS-grad,9,Divorced,Sales,0,0,35,<=50K
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,0,0,40,>50K
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,0,0,50,<=50K
30,Private,9th,5,Never-married,Sales,0,0,40,<=50K
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,0,0,50,>50K
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,0,0,40,<=50K
37,Private,Some-college,10,Divorced,Craft-repair,0,0,40,<=50K
28,Private,Some-college,10,Divorced,Machine-op-inspct,0,0,25,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Sales,0,1573,35,<=50K
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,0,0,40,>50K
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,0,0,50,<=50K
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,0,1902,60,>50K
37,Private,Some-college,10,Married-civ-spouse,Sales,0,0,48,>50K
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,0,0,40,<=50K
32,Federal-gov,HS-grad,9,Never-married,Other-service,0,0,40,<=50K
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,0,0,40,>50K
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,15024,0,60,>50K
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,0,0,50,<=50K
20,Private,Some-college,10,Never-married,Tech-support,0,0,40,<=50K
29,Private,HS-grad,9,Never-married,Craft-repair,0,0,40,<=50K
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,7688,0,40,>50K
17,?,10th,6,Never-married,?,34095,0,32,<=50K
30,Private,11th,7,Never-married,Handlers-cleaners,0,0,40,<=50K
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,0,0,40,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,0,0,40,<=50K
24,Private,Bachelors,13,Never-married,Sales,0,0,40,<=50K
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,0,0,40,>50K
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,0,1887,50,>50K
28,Private,Some-college,10,Married-civ-spouse,Sales,4064,0,25,<=50K
36,Private,HS-grad,9,Never-married,Machine-op-inspct,0,0,40,<=50K
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,0,0,50,<=50K
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,0,0,50,<=50K
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,0,0,40,>50K
55,Private,Some-college,10,Married-civ-spouse,Sales,0,0,56,<=50K
22,Private,HS-grad,9,Never-married,Craft-repair,0,0,41,<=50K
21,Private,Some-college,10,Never-married,Other-service,0,0,40,<=50K
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,60,<=50K
30,Private,Bachelors,13,Never-married,Exec-managerial,0,0,40,<=50K
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,50,>50K
19,Private,Some-college,10,Never-married,Other-service,0,0,35,<=50K
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,40,>50K
20,Private,Some-college,10,Never-married,Adm-clerical,0,1719,28,<=50K
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,0,0,40,>50K
35,?,HS-grad,9,Married-civ-spouse,?,0,0,40,<=50K
